user,time
E,"2025-01-26 13:57:55"
E,"2025-01-10 06:53:32"
E,"2025-01-23 02:20:56"
B,"2025-01-15 04:36:23"
A,"2025-01-23 23:29:42"
D,"2025-01-20 23:31:30"
D,"2025-01-23 17:51:12"
D,"2025-01-21 15:10:53"
C,"2025-01-29 23:56:33"
B,"2025-01-07 23:21:48"
E,"2025-01-30 13:57:53"
D,"2025-01-05 12:49:18"
B,"2025-01-17 21:30:41"
A,"2025-01-13 15:50:02"
D,"2025-01-11 11:58:46"
D,"2025-01-06 05:21:11"
D,"2025-01-30 22:00:06"
D,"2025-01-12 23:44:30"
E,"2025-01-26 16:16:13"
E,"2025-01-19 03:38:21"
E,"2025-01-02 21:54:23"
A,"2025-01-30 21:57:01"
C,"2025-01-20 20:32:17"
E,"2025-01-27 06:55:17"
B,"2025-01-27 23:03:40"
D,"2025-01-09 02:59:34"
B,"2025-01-20 22:55:52"
A,"2025-01-09 07:25:29"
C,"2025-01-19 15:13:18"
C,"2025-01-21 00:43:38"
D,"2025-01-01 01:32:08"
C,"2025-01-15 12:52:23"
A,"2025-01-18 19:13:00"
B,"2025-01-13 23:43:44"
E,"2025-01-07 04:05:35"
C,"2025-01-30 07:57:52"
D,"2025-01-27 14:14:29"
D,"2025-01-29 13:59:46"
E,"2025-01-26 23:16:58"
C,"2025-01-08 11:06:29"
B,"2025-01-08 09:34:29"
E,"2025-01-27 05:13:58"
C,"2025-01-22 00:01:26"
E,"2025-01-05 10:26:54"
E,"2025-01-27 07:06:02"
A,"2025-01-09 10:58:10"
B,"2025-01-07 16:21:16"
B,"2025-01-28 11:32:56"
C,"2025-01-24 13:33:14"
D,"2025-01-01 08:47:18"
